,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0006423234939575195,2.5124488326594797e-05,0.0012663841247558595,5.3744561266989325e-05,3,1,uniform,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.75,1.0,0.25,1.0,0.5,0.25,0.5,0.5,0.75,0.5,0.6,0.25495097567963926,5
1,0.0006227254867553711,6.975892950192766e-06,0.0012124538421630859,2.4441846669110383e-05,3,1,distance,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.75,1.0,0.25,1.0,0.5,0.25,0.5,0.5,0.75,0.5,0.6,0.25495097567963926,5
2,0.000731658935546875,3.9948425635817374e-05,0.001059103012084961,0.00013986312590918913,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.75,1.0,0.25,1.0,0.5,0.5,0.5,0.5,0.75,0.5,0.625,0.2304886114323222,1
3,0.0007421493530273438,1.1353231384588875e-05,0.0009378910064697266,1.4331634099951382e-05,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.75,1.0,0.25,1.0,0.5,0.5,0.5,0.5,0.75,0.5,0.625,0.2304886114323222,1
4,0.0006806135177612304,2.13972007820341e-05,0.0013294219970703125,3.161182221215672e-06,4,1,uniform,"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.75,1.0,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.6,0.2,5
5,0.0006747722625732421,1.695281840944127e-05,0.0012997150421142577,1.689652806416977e-05,4,1,distance,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.75,1.0,0.5,1.0,0.5,0.5,0.25,0.5,0.75,0.5,0.625,0.2304886114323222,1
6,0.0006954193115234375,1.4372033318902713e-05,0.0010030269622802734,1.076955485819134e-05,4,2,uniform,"{'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.75,1.0,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.6,0.2,5
7,0.0007228612899780274,9.765533031462695e-06,0.000938582420349121,3.742564206729352e-06,4,2,distance,"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.75,1.0,0.25,1.0,0.5,0.5,0.5,0.5,0.75,0.5,0.625,0.2304886114323222,1
8,0.0006779193878173828,1.850109739310066e-05,0.0013377904891967774,2.380139971250662e-05,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.4,0.12247448713915891,13
9,0.0006777048110961914,1.608053340436065e-05,0.0013037443161010743,3.211969045159896e-05,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.4,0.12247448713915891,13
10,0.0006946563720703125,6.069333502004814e-06,0.0010097742080688477,1.1385354663091318e-05,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.4,0.12247448713915891,13
11,0.0007268428802490234,6.807424534439226e-06,0.0009396791458129883,1.748765741617029e-05,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.4,0.12247448713915891,13
12,0.0006768226623535157,1.8538113928118974e-05,0.0013305187225341798,4.459383550925517e-06,6,1,uniform,"{'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",0.5,1.0,0.25,0.5,0.5,0.5,0.25,0.5,0.75,0.5,0.525,0.20766559657295186,9
13,0.0006763219833374023,1.9043377118630286e-05,0.0012954950332641601,1.041921924975954e-05,6,1,distance,"{'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",0.5,1.0,0.25,0.75,0.25,0.5,0.25,0.5,0.75,0.5,0.525,0.23584952830141512,9
14,0.0007056951522827149,1.270413124685445e-05,0.0009993314743041992,3.083352364630118e-06,6,2,uniform,"{'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",0.5,1.0,0.25,0.5,0.25,0.5,0.25,0.5,0.75,0.5,0.5,0.22360679774997896,11
15,0.0007241964340209961,8.044463325920934e-06,0.0009432077407836914,1.8283285395698584e-05,6,2,distance,"{'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",0.5,0.75,0.25,0.75,0.25,0.5,0.25,0.5,0.75,0.5,0.5,0.19364916731037085,11
